text,emotion
i thought i was all done with calc forever after finishing calc 3 but now i’m sitting in physics 2 wanting to d*e &; i know i joke about dropping out &; doing tiktok full time like every other day but like i mean it more &; more with every lecture i sit through omg,2
i dont have the attention span for a three hour lecture why did i sign  up for this i’m dropping out to pursue my full time tiktok career,2
i didn’t know hours could last this long,2
finally on winter break so now i can dedicate all of my time to posting crappy content on the timeline wassup,2
i’m on a ~7 hour long road trip with ali & he’s making me listen to bad podcasts w him,2
my little brothers friend posted this on his snapchat story and like part of me feels rly bad for him but also im WEAAAKkkk ,2
hi what’s your favorite feel-good movie?? looking for something to watch w the fam (nothing scary bc ali is a baby & cant handle it),2
i’ve been in bed watching game of thrones ALL day life is so good,2
"if u need me, i’ll be in bed all day watching tiktoks",2
play imessage games w me,2
"Hi guys, jom borak",2
main tinder la  ,2
ngantuk bye,2
yelah kot tahla ,2
hm ocan ,2
tidurlah please. ,2
I should be sleeping. Seroquel should make me sleepy. but it doesnt work. I need sleeping pills. haih,2
aku rasa nak sambung tidur sampai Disember.,2
bosan kat tempat kerja gini lah. patients takdop. kskskskks ,2
another day another sleepless night.,2
"tomorrow Ill have to head back to psychiatric ward for a follow up and letting the doctors know how I am throughout my home leave. I am doing better I think, despite the effect after my suicide attempt in August. I hope I can discharge and go to work. cause its boring in ward.",2
Theres a joke here somewhere... ,2
Watching Bad Boys now bye!,2
suggest me things to do before i turn 19,2
  im not sombong im just a bitch ,2
  i want nipple piercings ,2
  i dont use primer ,2
  notmishaomar was also ugly so next ,2
im bored,2
throw my hand in my muhfuckin pants,2
kims kkw product shoots are always so grainy and boring,2
my favourite thing to do is doing nothing,2
You sprinkle “lol” in your texts like what?  ,2
Are y’all back from your after school programs yet? I’m tryna post a recipe ,2
"Bro Ive been so bored recently, yall mind if I start making 1 minute cooking videos and posted them on Twitter?",2
I’m just tryna be shown off on IG like a Starbucks holiday cup ,2
"Laying in bed, thinking about how much better life would be if I had some McDonalds chicken nugskies rn... ",2
"If you’re bored like me, watch me try all the boba shops in SJ",2
"Just spent the day watching the latest season of Game of Thrones, and now idk what to do with my life. Time to brush my teeth, wipe the boogers out of my eyes, and start the day! ",2
It’s been 3 days since I’ve started watching Hero Academia and now I’m caught up..... Safe to say that Procrastination is my quirk ,2
Movie marathon with my favourite series ️ ,2
Currently watching #CrashLandingOnYou episode 1 ,2
"Anyway, saya nak tengok movie.",2
"Balik, mandi, tidur.",2
Mengantuk zzz,2
"Ugh, whatever. Im just gonna go watch some movies.",2
Found something for me to play with  ,2
What movie to watch? ,2
"Alright, what mood are we in tonight? Do we want some good laughs or do we want to be mad at men?",2
"Eh, I rasa I dah boleh start binge watch Kampung People niii",2
I puas qada tidur.,2
"If youre in my CF list, pls know that youre chosen bcs Im sure that yalls are single girlies so... yeah.",2
"drop your favorite reaction memes down, i wanna fill up my camera roll ",2
i am back with my tiktoks ,2
im logging off.. i’ll only update on reviews and exo shenanigans. see yall at the end if the year  ,2
aight thats it. boutta go on a hiatus and will only open twitter if exo tweets. catch me on instagram slippin tho lol  ,2
what i send to my friends on the daily: a thread that no one needed but yes im making it  ,2
i was bored and hwayugi’s ost came on.. i knew i had to  ,2
penat ah buat media planning aku nak bukak kedai makan jela ,2
do drop something here! ,2
sbb lama tak post gambar bb i masak ok nah ni menu malam ini  ,2
monday blues  ,2
does anyone wanna hangout with me tonight????,2
i literally spent my entire weekend just netflix and chill lol,2
"dick, penis, sex?   lol nothing new in 2020 i guess ",2
dah subuh and i’m not yet asleep  ,2
ok so who’s on twitter right now raise ur hand!,2
takleh tido? tengok la saya ,2
i literally didn’t do anything today and just stayed in #signsofaging,2
"About to stream. Talking, maybe playing ESO. The usual.   ",2
Quick night stream before going to the cinema  ,2
Today Ill do another night stream. No time right now because I need to do chores and other adulting stuff ,2
Aye Soraka Top here we go again ,2
"Hello guyssss I am going to be alone on xmas! Should I do a xmas stream? We could listen to xmas music, talk about adulting HARD and more lovely things and tings ️",2
Alright I should really get back to streaming,2
All I did in Laos so far was eat food in my hotel room or eat food at the hotel restaurant.,2
I ordered food and feel lonely.  How about a Mukbang Stream ?,2
I ended up reading for over 7 hours. I have too much free time....,2
Back in the hood  ,2
I got bored and turned myself into raven from teen titans. Anyone want a look change? Send me ur pic. I’m that bored :) ,2
 My streams in a nutshell. I sneeze and yawn alot.,2
I’m going to start streaming at 12:30 instead of 12:00. It’s a very slow morning today ,2
"I’m going to start playing Elder Scrolls Online. Is anyone playing ESO? Mind giving me a quick update how it’s like to play the game right now? Community, Updates and so on.",2
"Esok cuti, korang apa plan guys",2
can the pop girlies start worshipping the devil again coz its starting to get a lil bit boring here,2
i slept at 5am coz i was on netflix ,2
three movies to watch and review at the movie theatre this week ,2
"what’s your top 5 Black Mirror episodes? not in order but mine is Crocodile, Shut Up and Dance, White Christmas, Black Museum and Nosedive",2
so who do i gotta remove from my close friends list ,2
bae is sleeping who do i text now,2
can somebody talk to me about their day,2
Like this Quote Tweet and Ill tweet about you anonymously. ,2
sebab lelaki handsome mostly hambar  ,2
DM me your topless pic (or reply in this tweet) and Ill rate below. ,2
1k rt ill do this ,2
Weekend biasanya orang lepak tapi aku.. ,2
lai the curve esok,2
this tweet is so pointless yet so fulfilling to read  ,2
Jom NU sentral lunch,2
me thinking hard about arranging my top 7 friends on myspace ,2
what is his address i just wanna talk ,2
i got confused between working out &amp; sleeping in &amp; ordering mac &amp; cheese today but i got my mouth all worked out so that’s something,2
"honestly have been playing lost in the woods from frozen 2 on repeat the entire day, &amp; mixing in some chicago &amp; air supply bc they’re in the same family",2
one of these umno people in the image is the dad of an old primary schoolmate of mine. he grew up to be an asshole with an extremely expensive car. not surprising. ,2
i didn’t do much at work today but i did learn a shit ton about king henry viii bc yknow useless information is my vice,2
wow that’s great wish i had a piece of land to gadaikan so i too can chase my dreams #okboomer ,2
"helo i am at work but mentally on the beach, come tell me your stories ",2
