text,emotion
job hunting is seriously so discouraging and exhausting and i am petrified that i’m gonna be stuck in this little bubble town forever,0
can’t stop thinking about that garfield haunted house game and now i’m too spooked to sleep help,0
my mom made me go to the store by myself today to buy meat & i had no clue how stressful doing simple adult tasks could be but i really had to struggle not to giggle when i asked for chicken bReAsts like five times so in conclusion mom please don’t make me leave the house anymore,0
the girl next to me on this flight is v pretty &; seems rly sweet & i like her shoes &; her glasses &; i wanna be friends w her but i don’t wanna bw weird help,0
ok funny thing is i literally have NO recollection of waking up and picking up my phone and tweeting this??? like i have no clue what my nightmare was about?? i don’t remember even having one or opening twitter??? thAts scary ,0
a whole 20 years old and i still can’t go go back to sleep after waking up from a nightmare wow,0
"hello good morning i’ve got three finals today & im a lil stressed so if you’re reading this & wanna pray for me or just wish me good luck, i’d be grateful :’)",0
"hahah!! i’m about to take a midterm and i am on the verge of an anxiety attack!!!, also had too much caffeine this morning which just makes the situation worse!! might start cryinf! i’m not even that worried about this exam idk why my body is suddenly in extreme panic mode! help!",0
my talents include wakin up before my alarm & then thinking i have enough time to scroll through twitter for an hour before getting out of bed & then realizing i diDnt have enough time to scroll through twitter for an hour & then panicking & rushing to get out of bed every mornin,0
my biggest fear is actually making tiktoks in public,0
i wore my tiktok sweatshirt out in public today bc i was going to popeyes and thought who cares but now i’m getting laughed at by a group of middle school boys ahead of me in line what do i do,0
was driving home tonight and almost hit a possum but like not a regular possum this was a BIG possum & then literallg three minutes later i almost hit a fox??? they both just sat in the middle of the road staring at me for like an uncomfortable amount of time what does this mEAN,0
had a dream about @TylerFunke last night he broke into my house and didn’t say a wOrd to me but he handed me a rly cute kitten and then left what does this mean,0
isn’t this literally a black mirror episode lmfAo ,0
pls don’t roast me for this i am soft ,0
accidentally had a panic attack at the grocery store bc i couldn’t pick a cake flavor today’s going great,0
officially done with sophomore year of college wOW life is flying by and i am terrified,0
ladybugs are literally my biggest fear they are bEETLES disguised as harmless lil colorful lucky buggers that people make wishes on and like to play with but rly they are gross beetles that will fly into your face and get into your nose/ears/mouth and lay eggs and i hate them ,0
hey guys sorry i haven’t been on twitter much lately i’ve been too busy getting FAT.  my jeans don’t fit!! my bmi has increased by like 4!! my appetite is insane!! i am spiraling!!!! help!!,0
omw to class today (like a min late) & this guy standing at the door to the building starts following me down the hall & i stop to tie my shoe bc hes a lil too close for comfort & this guy stops walking too?? i’m like lowkey freaked out,0
bandersnatch is driving my anxiety through the roof but i cant stop playing / watching help,0
my aesthetician fosters a french bulldog and he will literally bark until she plays BTS for him smh kpop fans are wiLD,0
hi so i had sleep paralysis for the first time last night & it was tERRIFYING  i couldnt move a muscle but i felt fully awake & my eyes were wide open & there were creepy shadows on my wall & there was this awful ear-ringing screeching noise & all i could do was lay there & cry,0
siapa yang pukimak sangat pergi retweet gambar pennywise ni ha sial,0
paling seram bila tak datang kerja lepastu buat story kat ig melepak lepastu boss reply very syok melepak ah you kerja tak datang weh gugur jantung,0
im 80% done with my preparation... nervous ,0
get ready for zombie apocalypse guys  ,0
mati mati ingat faiz roslan ,0
"jap,,,,, mana subang hidung i ???? tadi i pakai astu mana pergi???? takkan aku sedut pulak nyah",0
i batuk kering gais  minta minta i selamat ya,0
"if we ever face zombie apocalypse for real, i need to save my parents no matter what, i need to find food and medical supplies wtf im thinking too much",0
i dah kata tak lama lagi kita akan face zombie apocalypse  ,0
"cuba korang bayangkan corona virus ni macam zombie virus, tetiba semua jadi zombie apocalypse???????? weh",0
"takkan nak tunggu separuh populasi malaysian mati baru nak declare kritikal, Tun yang kritikal sekarang ni ",0
