text,emotion
bila spectrum nak elok ni,worry
aduu sayu je tengok anak sedara ni sleepy face,worry
all um all_caps nerd kiasu people make insecure,worry
hey come back physical class despite high case covid all_caps not force attend cannot pass like rest la haha also th january you know guy come back days ago but care joke students grin squint face,worry
nervous nya hrini,worry
susah jugak la jenis takde bersalah gini,worry
shit dah nd year,worry
bearbrick oranng resell gak tau la nak ape,worry
like i motivation keep go semester,worry
try hard nak gain clout benda mcm ni nak jadikan issue setiap keputusan yg sudahpun mengambil pengetahuan kpt all_caps akan impak negatif sgt masuk utk elakkan kesesakan pendaftaran pelajar unnecessary hate,worry
i get colder day day,worry
lapa nokharom pagi ni,worry
mana awak ni,worry
haih go,worry
korang pergi la solat asar kang tenteram tunggu group ko nak perform,worry
tf tali racket putus bag je mana nak cari kedai badminton ni,worry
me run mom call full name,worry
people ignore sign reason people reach help,worry
yang drink drive ni pi mampos dah kot,worry
i exhaust think much,worry
harap fail la,worry
dah setahun gak ah makan murni hmm,worry
kita nak belajar belajar nak kat,worry
get together that person choose reason stop feel insecure elongated_em,worry
adik kidal nak tekan minyak kaki kiri aih bahaya,worry
susahnya ni nak selera makan loudly cry face,worry
babbbihhh all_caps everything all_caps be all_caps real all_caps sielll all_caps,worry
feel little bite elongated_pd,worry
kalau kedai acheh kena sita nak beli dblend kat,worry
the suspense killin,worry
before dpt beli sbb takde duit really want,worry
so say good relationship clinical years know priorities so time support test breakdowns nothing huh apart break tie want make feel shitty,worry
dh kali tgk soalan project still not kid hahaha,worry
best gak harini story kes skull crossbones skull crossbones,worry
acid reflux stomach chart increase chart increase chart increase chart increase chart increase chart increase chart increase chart increase chart increase,worry
sigh bad days back back,worry
ramai gak drop soft compute lepas dengar first lecture elongated_pd,worry
sedar sedar esok ni lusa dah masuk aku tetap cuti new year,worry
mad rakyat pandang je dumbfucks make stupid rule without think properly helpless hand politicians loudly cry face,worry
nak ajak segan la reti start conversation reti sambunh je,worry
hi otak tershutdown adv calculus,worry
just tire people match energy i exert,worry
jahat pemikiran mengharapkan pkp ni memikirkan punca pendapatan,worry
my cat labour oh my god,worry
makan ubat je tersedak i skek,worry
pakhg belen lancau,worry
pebenda dr ni suka drag mins allahu ni tuto dr lecture loudly cry face loudly cry face loudly cry face,worry
get attack reason ni haish,worry
beli barang murah harga ship ni ntahla nak cakap cane,worry
todak gak obat,worry
feel guilty rn because i think i right thing,worry
bil unifi ni bayar unifi ni,worry
fuck la skin condition like shit,worry
stress la tudung ni eee,worry
goal missile attack,worry
cramp nd day syawal skull crossbones skull crossbones,worry
headache game still lot things,worry
just nak solo run jog pkp ni i want jog pastu mum cakap mana jog pkp i tell say kena saman pandai la bayar i scar,worry
wehh muka tua,worry
why i fuck stupid,worry
first wfh all_caps tapi silap schedule lepastu tak nak wfh pulak shitty management,worry
seronok terseksa dgn perasaan,worry
need study bed comfy,worry
dah peruntukan student uni biden menang kes melambung pulak aduh stress,worry
hajshah many people complain aot all_caps graphics personally i think quite good elongated_qm or ya react elongated_qm,worry
ha sape pegang gamat tu,worry
wuhuu bazir tido eventho esk exam,worry
haih sakit badan study mcm ni nak nangis,worry
let go like let soul fly away,worry
fuck yeah moment,worry
boyfriend taknak jumpa,worry
oh bby dominance suppose loudly cry face,worry
everything make insecure,worry
want stay home want go back um,worry
should hm,worry
doakan batuk lelah ni cepat hilang aminn,worry
dah kerja clown face clown face clown face,worry
something would buy habiskan duit,worry
i sleep everyday since monday elongated_pd,worry
literally cry bcs cannot go trip either family friends,worry
ya allah stress nyaaa benda urgh,worry
i know something right bad tonight,worry
penat laaa dgn nii loudly cry face loudly cry face loudly cry face kenapa la cepat sngt lupaaa,worry
kenapa size seluar lelaki dewasa start ehhh elongated_qm kesian ni nak cari seluar loudly cry face loudly cry face loudly cry face,worry
touch n go hilang dumb clumsy ass dah la top,worry
nak pape takde mood ni weh nak cari mood,worry
online class really extreme sport bangun bangun masuk kelas fuhhh,worry
haih ujian nak raya loudly cry face,worry
aku ni mmg malu main makan sedap loudly cry face loudly cry face loudly cry face,worry
i ded penat hilang,worry
me tire understand slide,worry
wow ni simpan cita cita nak rosmah because right track,worry
i fuck fam,worry
i remind efforts i put get i question i go put waste,worry
episode since pm,worry
hm patut la breakout jee muka nii,worry
period cramp face vomit face vomit,worry
today bad day sales haha,worry
this due carbon monoxide poison red blood cells tend bind co all_caps higher affinity compare oxygen low oxygen cause cell death to make worse body cannot detect difference hence would die you be sleep without warn,worry
i sorry,worry
dah cuak kena palau sv takde kerja sv cuti minggu ni woman get massage light skin tone,worry
patient dnr ni cam dah redha hidup eh,worry
amboi gaji orang politik senang je ye gaji fresh grad ni kiamat dok kat garisan kemiskinan face tear joy face tear joy face tear joy,worry
selalu kkm lambat tweet ni case melambung lambung elongated_pd,worry
babi la esok nak record vid assignment pastu drive class nya malam ni jugak nak menangis fuck,worry
i guess i never things right way,worry
dh bnyk kali hidung darah nii weary face weary face,worry
kesian kat fake hope,worry
i like,worry
oh my god all_caps noo all_caps hahahahaha all_caps,worry
deym workload cikgu bertambah yal,worry
ada org knowledge yg professional vaccine yg antivax sebab tu pendapat yg dah nak dgr org as much i want spread truth reality sometimes useless explain people listen,worry
bila kawan kawan nak kampus ni elongated_pd,worry
my stress cop mechanism work gym meet girlfriend i cannot due current circumstances hence i get sensitive tend overthink stuff hurt guy anyway i really sorry still try adapt new environment,worry
overshare bout and yes slightly smile face,worry
my mental health look good rn,worry
should delete or elongated_pd,worry
human interaction text tire payah long distance relationship hm shoot,worry
rindu hidup covid,worry
sape la pi report lagu zaman kat yt best kot lagu tu,worry
our local celebrities need learn apologize properly the lack sincerity make look even pathetic,worry
susah gak fm ni loudly cry face underestimate,worry
just cannot understand people try friendly pandemic datang kat orang like what the fuck,worry
selagi habis train selagi tu tenang,worry
pagi indah dikhabarkan berita menyedihkan,worry
pen jugaklah phone selalunya ws je,worry
alamak tacodt,worry
besok test bm hm molek study sejarah je hshshs,worry
result week oh slightly smile face,worry
penat la bodoh ni,worry
be wait mins bus still miss,worry
feel attack smile face tear,worry
i think i already overcome fear but yep still,worry
sesak nafas selesa ye,worry
pandemic make insecure annoy miss go meet people socialize lot give confidence,worry
wireless charge really wireless like je mcm kau usb still melekat kat plug,worry
tell all_caps me all_caps people all_caps tak all_caps potong all_caps kuku all_caps sendiri all_caps and all_caps go all_caps to all_caps spa all_caps instead all_caps elongated_qm dasar all_caps spoil all_caps brat all_caps elongated_em,worry
screw loudly cry face water pistol,worry
i never unprepared presentation and slide even please ditch group mat last minute,worry
i fine i fine,worry
malaysians right consume alcohol ya go consume house consume pub drink drive accident i see nothing wrong man shrug light skin tone,worry
pergi ikea nak makan kena judge sneeze face,worry
menyesal tidur ingat ni zaman asrama tidur bangun,worry
guy area tasik kesuma fasa c anyone see cat please pulangkan dah bape try cari jumpa jumpa if anyone terambil tlg pulangkan please,worry
kenapa ramai perempuan pakai baju melayu ni elongated_pd,worry
sepang ni yb all_caps ni memekak tergagap,worry
pkul tunggu not kid amik kad siswa last sajo lamo nnti la kali rajin pegi plk,worry
ya racist shit stop use racial slur ffs,worry
cne tah exam nnti hm,worry
i lose hope everything,worry
dari puku cuba nak tido lelah takleh ape sakit dada,worry
nothing go way today,worry
hide tear feel suffocate,worry
nak discuss isnin busy nak discuss smlm lupa harini pulak busy lak acanoo,worry
nafsu membeli high court purple converse golf wang membuak selagi sabar,worry
hmm gak dah la kena see,worry
panic ye waze function time tgh drive,worry
i open blind date weary face,worry
for your information dr nurse suppose show syringe inject vaccine procedure do i observe i volunteer if guy ask report person charge be careful everyone,worry
serious dah barai nak mati ni hahaha esok cuti eh,worry
feel bad lecturers bad internet c,worry
parent compliment everyone except all_caps children,worry
duit mengalir air terjun dah minggu ni minggu ni habis kerja tidur bangun pi kerja repeat mampos,worry
mengantuk nyaaa loudly cry face,worry
tf disappoint,worry
not haziq share tweet time no homo though,worry
tiba lonely,worry
need motivation,worry
barang shoppee nak ni tire face,worry
i need start prioritize academic shit plss,worry
beli beratus buang gitu je babi,worry
environment kena setup expect kerja nak cepat,worry
nak sleep cannot sleep,worry
ya allah bernafas nya elongated_pd,worry
takde mood pagi raya gini,worry
mari mulakan pkp all_caps kitajagakita,worry
i feel like go date insecure do face people slightly smile face,worry
sometimes think you be good someone actually need,worry
rse camne la org belajar online jaga parent sakit ni pon dah tk tahan dah,worry
problem feel like problem go long,worry
ya allah jealous je allahu loudly cry face loudly cry face loudly cry face,worry
nooo all_caps loudly cry face loudly cry face,worry
the worst part read thoughts judge carelessly act they even understand really feel,worry
ya allahhh takut anxious face sweat,worry
ijn all_caps mmg takde insurans yng cover eh operation mcm nj,worry
finally all_caps ko all_caps jangan all_caps nak all_caps buat all_caps tergantung all_caps lagi all_caps ehhh all_caps aku all_caps tumbuk all_caps kang all_caps elongated_em,worry
jap pembangkang still gaji eh,worry
weh alamak lupa reply ws sarayuth dah nyah woman facepalming,worry
my toxic behaviour i tend push people away i okay,worry
mata dah sakit nak pergi kelas ni upside face,worry
i cryin because i dumb cmon maths you be suppose cup tea,worry
mnyesal beli kain batik kat pasar payang haritu jadikan hadiah mak haduh,worry
today day,worry
dah menulis buruk gila tulisan huaaa,worry
ala stress stress loudly cry face,worry
wonder i include miss guy elongated_pd,worry
haih crave takleh dilayan kerana kumpul duit loudly cry face,worry
friends come raya house iz sad,worry
